NAME,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,TYPE,POPULATION WITHIN 10KM,LARGEST YEAR,LARGEST VEI,LATEST YEAR,LATEST VEI
Acatenango,Guatemala,14.501,-90.876,3976,Stratovolcano(es),60730,1924,3,1972,1
Adams,United States,46.206,-121.49,3742,Stratovolcano,70,950,2,950,2
Adams Seamount,Undersea Features,-25.37,-129.27,-39,Submarine,0,-50,0,-50,0
Adatarayama,Japan,37.647,140.281,1728,Stratovolcano(es),3936,-590,3,1996,1
Agrigan,United States,18.77,145.67,965,Stratovolcano,0,1917,4,1917,4
Agua de Pau,Portugal,37.77,-25.47,947,Stratovolcano,17272,1563,5,1564,2
Aguilera,Chile,-50.33,-73.75,2546,Stratovolcano,0,-1250,5,-1250,5
Agung,Indonesia,-8.343,115.508,2995,Stratovolcano,76781,1963,5,1963,5
Ahyi,United States,20.42,145.03,-75,Submarine,0,2014,0,2014,0
Aira,Japan,31.593,130.657,1117,Caldera,113874,-8050,6,2017,1
Akademia Nauk,Russia,53.98,159.45,1180,Stratovolcano(es),3,1996,3,1996,3
Akan,Japan,43.384,144.013,1499,Caldera,2062,-50,4,2008,1
Akita-Komagatake,Japan,39.761,140.799,1637,Stratovolcano(es),3864,-7850,4,1970,2
Akita-Yakeyama,Japan,39.964,140.757,1366,Stratovolcano,721,1929,2,1997,1
Akutan,United States,54.134,-165.986,1303,Stratovolcano,24,340,5,1992,1
Alaid,Russia,50.861,155.565,2285,Stratovolcano,64,1981,4,2015,1
Alamagan,United States,17.6,145.83,744,Stratovolcano,0,870,4,870,4
Alayta,Ethiopia,12.888,40.573,1496,Shield,925,1915,2,1915,2
Alcedo,Ecuador,-0.43,-91.12,1130,Shield,290,1993,1,1993,1
Almolonga,Guatemala,14.797,-91.519,3173,Stratovolcano,287487,800,3,1818,2
Alney-Chashakondzha,Russia,56.7,159.65,2598,Stratovolcano,0,-650,3,-650,3
Alu-Dalafilla,Ethiopia,13.793,40.553,578,Fissure vent(s),9,2008,3,2008,3
Ambang,Indonesia,0.75,124.42,1795,Complex,46469,2005,1,2005,1
Ambrym,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,186,50,6,2008,2
Amukta,United States,52.5,-171.252,1066,Stratovolcano,0,1963,3,1997,1
Anatahan,United States,16.35,145.67,790,Stratovolcano,0,2004,3,2007,2
Aniakchak,United States,56.88,-158.17,1341,Caldera,0,-1645,6,1931,4
Antillanca Group,Chile,-40.771,-72.153,1990,Stratovolcano(es),521,-230,5,-230,5
Antisana,Ecuador,-0.481,-78.141,5753,Stratovolcano,2220,1801,2,1801,2
Antuco,Chile,-37.406,-71.349,2979,Stratovolcano,474,1852,3,1869,2
Aoba,Vanuatu,-15.4,167.83,1496,Shield,1279,2005,2,2011,1
Aogashima,Japan,32.458,139.759,423,Stratovolcano,232,-600,4,1780,3
Apagado,Chile,-41.88,-72.58,1210,Pyroclastic cone,44,-590,4,-590,4
Apoyeque,Nicaragua,12.242,-86.342,518,Pyroclastic shield,116718,-50,6,-50,6
Ararat,Turkey,39.7,44.3,5165,Stratovolcano,1239,1840,3,1840,3
Ardoukoba,Djibouti,11.58,42.47,298,Fissure vent(s),2895,1978,1,1978,1
Arenal,Costa Rica,10.463,-84.703,1670,Stratovolcano,15643,1400,4,1968,3
Arenales,Chile,-47.2,-73.48,3437,Stratovolcano,0,1979,1,1979,1
Arhab,Yemen,15.63,44.08,3100,Volcanic field,284443,200,2,500,0
Arjuno-Welirang,Indonesia,-7.733,112.575,3339,Stratovolcano,53983,1950,2,1952,0
Asamayama,Japan,36.406,138.523,2568,Complex,22371,1108,5,2015,1
Askja,Iceland,65.033,-16.783,1080,Stratovolcano,0,1875,5,1961,2
Asosan,Japan,32.884,131.104,1592,Caldera,75559,2016,3,2016,3
Asuncion,United States,19.671,145.406,857,Stratovolcano,0,1906,2,1906,2
Ata,Japan,31.22,130.57,924,Caldera(s),93134,-2690,5,885,4
Atacazo,Ecuador,-0.353,-78.617,4463,Stratovolcano,212988,-320,5,-320,5
Atitlan,Guatemala,14.583,-91.186,3535,Stratovolcano(es),70431,1853,3,1853,3
Atka,United States,52.331,-174.139,1448,Stratovolcano(es),0,1812,3,1812,3
Augustine,United States,59.363,-153.43,1252,Lava dome(s),0,1986,4,2005,3
Avachinsky,Russia,53.256,158.836,2717,Stratovolcano,0,-1350,5,2001,1
Awu,Indonesia,3.67,125.5,1320,Stratovolcano,22655,1966,4,2004,2
Axial Seamount,Undersea Features,45.95,-130.0,-1410,Submarine,0,2015,0,2015,0
Azufral,Colombia,1.08,-77.68,4070,Stratovolcano,40657,-930,4,-930,4
Azul,Chile,-35.653,-70.761,3788,Stratovolcano,158,1916,5,2008,1
Azul,Ecuador,-0.92,-91.408,1640,Shield,220,1916,5,2008,1
Azul,Nicaragua,12.53,-83.87,201,Pyroclastic cone(s),4310,1916,5,2008,1
Azumayama,Japan,37.735,140.244,1949,Stratovolcano(es),907,-4150,3,1977,1
Babuyan Claro,Philippines,19.523,121.94,1080,Stratovolcano(es),222,1831,4,1924,2
Bagana,Papua New Guinea,-6.137,155.196,1855,Lava cone,404,1952,4,2000,2
Bakening,Russia,53.905,158.07,2278,Stratovolcano,10,-6550,3,-550,2
Baker,United States,48.777,-121.813,3285,Stratovolcano(es),46,1843,3,1880,2
Bam,Papua New Guinea,-3.613,144.818,685,Stratovolcano,192,1877,3,1960,2
Bamus,Papua New Guinea,-5.2,151.23,2248,Stratovolcano,630,1886,3,1886,3
Banda Api,Indonesia,-4.523,129.881,596,Caldera,5682,1988,3,1988,3
Bandaisan,Japan,37.601,140.072,1816,Stratovolcano,17608,1888,4,1888,4
Banua Wuhu,Indonesia,3.138,125.491,-5,Submarine,480,1918,3,1918,3
Barcena,Mexico,19.3,-110.82,332,Pyroclastic cone(s),0,1952,3,1952,3
Bardarbunga,Iceland,64.633,-17.516,2000,Stratovolcano,0,1477,6,2014,0
Barren Island,India,12.278,93.858,354,Stratovolcano,645,2013,2,2013,1
Barrier,Kenya,2.32,36.57,1032,Shield,112,1921,2,1921,2
Barva,Costa Rica,10.135,-84.1,2906,Complex,8018,-6050,4,-6050,4
Batur,Indonesia,-8.242,115.375,1717,Caldera,466899,1974,2,1999,1
Belknap,United States,44.285,-121.841,2095,Shield(s),0,480,2,480,2
Berlin,Antarctica,-76.05,-136.0,3478,Shield(s),0,-8350,0,-8350,0
Besar,Indonesia,-4.43,103.67,1899,Stratovolcano?,2467,1940,1,1940,1
Bezymianny,Russia,55.972,160.595,2882,Stratovolcano,0,1955,5,2010,3
Biliran,Philippines,11.523,124.535,1301,Compound,78799,1939,1,1939,1
Billy Mitchell,Papua New Guinea,-6.092,155.225,1544,Pyroclastic shield,449,1580,6,1580,6
Black Butte Crater Lava Field,United States,43.183,-114.352,1478,Shield,158,-8400,0,-8400,0
Black Peak,United States,56.552,-158.785,1032,Stratovolcano,0,-1900,6,-1900,6
Blanco,Argentina,-26.789,-67.765,4670,Caldera,39,-2300,7,-2300,7
Bliznetsy,Russia,57.35,161.37,265,Lava cone,4,-1060,1,-1060,1
Bogoslof,United States,53.93,-168.03,150,Submarine,0,2016,3,2016,3
Bolshoi-Kekuknaysky,Russia,56.483,157.917,1401,Shield(s),0,-5310,3,-5310,3
Boomerang Seamount,France,-37.721,77.825,-650,Submarine,0,1995,0,1995,0
Bouvet,Norway,-54.408,3.351,741,Shield,0,-50,0,-50,0
Bravo,Colombia,5.091,-75.293,3985,Stratovolcano,4916,1720,4,1720,4
Brennisteinsfjoll,Iceland,63.933,-21.783,610,Crater rows,33526,1341,2,1341,2
Bristol Island,United Kingdom,-59.017,-26.533,1100,Stratovolcano,0,1956,3,2016,1
Buckle Island,Antarctica,-66.78,163.25,1239,Stratovolcano,0,1899,2,1899,2
Bulusan,Philippines,12.77,124.05,1565,Stratovolcano(es),74286,1981,3,2016,2
Burney,Chile,-52.33,-73.4,1758,Stratovolcano,0,-2320,5,1910,2
Buzzard Creek,United States,64.062,-148.433,830,Tuff ring(s),0,-1050,2,-1050,2
Cagua,Philippines,18.222,122.123,1133,Stratovolcano,1137,1860,2,1860,2
Calbuco,Chile,-41.33,-72.618,1974,Stratovolcano,871,-6760,5,2015,4
Callaqui,Chile,-37.92,-71.45,3164,Stratovolcano,294,1751,2,1980,1
Cameroon,Cameroon,4.203,9.17,4095,Stratovolcano,26053,1807,3,2000,2
Camiguin,Philippines,9.203,124.673,1552,Stratovolcano(es),51587,1948,3,1948,3
Camiguin de Babuyanes,Philippines,18.83,121.86,712,Stratovolcano,1066,1857,2,1857,2
Campi Flegrei,Italy,40.827,14.139,458,Caldera,2234109,-2150,5,1538,3
Campi Flegrei Mar Sicilia,Italy,37.1,12.7,-8,Submarine,230578,1831,3,1867,0
Candlemas Island,United Kingdom,-57.08,-26.67,550,Stratovolcano,0,1911,2,1911,2
Carrán-Los Venados,Chile,-40.35,-72.07,1114,Pyroclastic cone(s),4840,1955,4,1979,2
Cayambe,Ecuador,0.029,-77.986,5790,Compound,1148,1570,4,1785,2
Ceboruco,Mexico,21.125,-104.508,2280,Stratovolcano,30319,930,6,1870,3
Cendres,Vietnam,10.158,109.014,-20,Submarine,0,1923,2,1923,2
Cereme,Indonesia,-6.892,108.4,3078,Stratovolcano,67377,1698,3,1951,2
Chacana,Ecuador,-0.375,-78.25,4643,Caldera,81716,1773,0,1773,0
Chachadake [Tiatia],Japan - administered by Russia,44.353,146.252,1822,Stratovolcano,223,1973,4,1981,2
Chachimbiro,Ecuador,0.468,-78.287,4106,Stratovolcano,5299,-3740,3,-3740,3
Chaiten,Chile,-42.833,-72.646,1122,Caldera,8968,-3100,5,2008,4
Changbaishan,China-North Korea,41.98,128.08,2744,Stratovolcano,1833,942,7,1898,2
Chichinautzin,Mexico,19.08,-99.13,3930,Volcanic field,584725,-7370,4,400,3
Chichon,Mexico,17.36,-93.228,1150,Lava dome(s),11000,1982,5,1982,5
Chiginagak,United States,57.135,-156.99,2221,Stratovolcano,0,1971,2,1998,1
Chikurachki,Russia,50.324,155.461,1781,Stratovolcano(es),65,1986,4,2016,2
Chiles-Cerro Negro,Colombia-Ecuador,0.817,-77.938,4698,Stratovolcano,4573,1936,2,1936,2
Chillan,Chile,-36.863,-71.377,3212,Stratovolcano,371,1864,3,2016,2
Chirinkotan,Russia,48.98,153.48,724,Stratovolcano,0,2016,3,2016,3
Chirippusan [Chirip],Japan - administered by Russia,45.338,147.92,1587,Stratovolcano(es),372,1843,2,1860,1
Chirpoi,Russia,46.532,150.871,742,Caldera,1,1712,4,2012,0
Chokaisan,Japan,39.099,140.049,2236,Stratovolcano(es),707,1834,2,1974,1
Churchill,United States,61.38,-141.75,5005,Stratovolcano,0,847,6,847,6
Chyulu Hills,Kenya,-2.68,37.88,2188,Volcanic field,14889,1855,2,1855,2
Cleft Segment,Undersea Features,44.83,-130.3,-2140,Submarine,0,1986,0,1986,0
Cleveland,United States,52.825,-169.944,1730,Stratovolcano,0,2013,3,2016,0
CoAxial Segment,Undersea Features,46.52,-129.58,-2400,Submarine,0,1993,0,1993,0
Cofre de Perote,Mexico,19.492,-97.15,4282,Shield(s),18638,1150,2,1150,2
Colima,Mexico,19.514,-103.62,3850,Stratovolcano(es),746,1913,5,2013,2
Colo,Indonesia,-0.162,121.601,404,Stratovolcano,2025,1983,4,1983,4
Concepcion,Nicaragua,11.538,-85.622,1700,Stratovolcano,28900,-770,4,2009,1
Copahue,Chile-Argentina,-37.856,-71.183,2953,Stratovolcano,555,2015,2,2015,2
Cosiguina,Nicaragua,12.98,-87.57,872,Stratovolcano,4114,1835,5,1852,2
Cotopaxi,Ecuador,-0.677,-78.436,5911,Stratovolcano,7299,1130,5,2015,2
Crater Lake,United States,42.93,-122.12,2487,Caldera,52,-5680,7,-5550,0
Craters of the Moon,United States,43.42,-113.5,2005,Pyroclastic cone(s),15,-130,0,-130,0
Cuicocha,Ecuador,0.308,-78.364,3246,Caldera,178815,-1150,5,-1150,5
Cumbal,Colombia,0.95,-77.87,4764,Stratovolcano,10206,1926,2,1926,2
Curacoa,Tonga,-15.62,-173.67,-33,Submarine,0,1973,3,1979,1
Dabbahu,Ethiopia,12.595,40.48,1401,Stratovolcano,1150,2005,3,2005,3
Dakataua,Papua New Guinea,-5.094,150.094,408,Caldera,1147,653,6,1895,2
Dallol,Ethiopia,14.242,40.3,-48,Explosion crater(s),670,1926,1,2011,0
Damavand,Iran,35.951,52.109,5670,Stratovolcano,2295,-5350,0,-5350,0
Dana,United States,55.641,-161.214,1354,Stratovolcano,0,-1890,5,-1890,5
Darwin,Ecuador,-0.18,-91.28,1330,Shield,190,1813,2,1813,2
Deception Island,Antarctica,-63.001,-60.652,602,Caldera,0,1970,3,1970,3
Dempo,Indonesia,-4.03,103.13,3173,Stratovolcano(es),9613,1974,2,2009,1
Descabezado Grande,Chile,-35.58,-70.75,3953,Stratovolcano(es),142,1932,3,1932,3
Dhamar,Yemen,14.57,44.67,3500,Volcanic field,791276,1937,2,1937,2
Diamond Craters,United States,43.1,-118.75,1435,Volcanic field,66,-5610,4,-5610,4
Didicas,Philippines,19.077,122.202,228,Compound,0,1978,2,1978,2
Dieng Volcanic Complex,Indonesia,-7.2,109.879,2565,Complex,1092929,1375,3,2009,1
Don Joao de Castro Bank,Portugal,38.23,-26.63,-13,Submarine,0,1720,3,1720,3
Dona Juana,Colombia,1.5,-76.936,4137,Stratovolcano,5372,1897,4,1897,4
Dotsero,United States,39.661,-107.035,2230,Maar,4821,-2200,2,-2200,2
Dubbi,Eritrea,13.579,41.809,1625,Stratovolcano,0,1861,3,1861,3
Dukono,Indonesia,1.693,127.894,1229,Complex,3348,1933,3,1933,3
East Gakkel Ridge at 85°E,Undersea Features,85.608,85.25,-3800,Submarine,0,1999,2,1999,2
Eastern Gemini Seamount,France,-20.98,170.28,-80,Submarine,0,1996,1,1996,1
Ebeko,Russia,50.686,156.014,1103,Stratovolcano,267,2016,2,2016,2
Ebulobo,Indonesia,-8.82,121.18,2124,Stratovolcano,24149,1969,2,1969,2
Ecuador,Ecuador,-0.02,-91.546,790,Shield,135,1150,0,1150,0
Edziza,Canada,57.72,-130.63,2786,Stratovolcano,0,950,3,950,3
Egon,Indonesia,-8.676,122.455,1661,Stratovolcano,23263,2008,2,2008,2
Ekarma,Russia,48.958,153.93,1170,Stratovolcano,0,2010,2,2010,2
Elovsky,Russia,57.55,160.53,1381,Shield(s),0,-7550,4,-7550,4
Emuruangogolak,Kenya,1.5,36.33,1285,Shield,252,1910,0,1910,0
Endeavour Segment,Canada,47.95,-129.1,-2050,Submarine,0,-3490,0,-3490,0
Epi,Vanuatu,-16.68,168.37,833,Stratovolcano(es),170,1953,3,2004,2
Erebus,Antarctica,-77.53,167.17,3794,Stratovolcano,0,1972,2,1972,1
Erta Ale,Ethiopia,13.6,40.67,613,Shield,2796,1967,0,1967,0
Esan,Japan,41.805,141.166,618,Lava dome(s),5831,-6670,3,1874,1
Escanaba Segment,Undersea Features,40.98,-127.5,-1700,Submarine,0,-2260,0,-2260,0
Etna,Italy,37.748,14.999,3295,Stratovolcano(es),3291,-122,5,2013,2
Etorofu-Atosanupuri [Atosanupuri],Japan - administered by Russia,44.808,147.131,1206,Stratovolcano,289,1932,2,1932,2
Etorofu-Yakeyama [Grozny Group],Japan - administered by Russia,45.012,147.871,1158,Complex(es),39,2013,2,2013,2
Eyjafjallajokull,Iceland,63.633,-19.633,1651,Stratovolcano,4,2010,4,2010,4
Falcon Island,Tonga,-20.32,-175.42,-17,Submarine,302,1885,3,1936,2
Farallon de Pajaros,United States,20.538,144.896,360,Stratovolcano,0,1952,2,1967,0
Fayal,Portugal,38.6,-28.73,1043,Stratovolcano,13757,1957,2,1957,2
Fentale,Ethiopia,8.975,39.93,2007,Stratovolcano,14201,1820,0,1820,0
Fernandina,Ecuador,-0.37,-91.55,1476,Shield,129,1968,4,2009,2
Fisher,United States,54.65,-164.43,1112,Stratovolcano,0,-7420,6,1830,2
Fogo,Cape Verde,14.95,-24.35,2829,Stratovolcano,13254,2014,3,2014,3
Fonualei,Tonga,-18.02,-174.325,180,Stratovolcano,71,1846,4,1951,2
Fournaise,France,-21.244,55.708,2632,Shield,55859,-2700,5,2016,0
Fourpeaked,United States,58.77,-153.672,2105,Stratovolcano,0,2006,2,2006,2
Fremrinamar,Iceland,65.416,-16.666,970,Stratovolcano,0,-2300,0,-2300,0
Fuego,Guatemala,14.473,-90.88,3763,Stratovolcano(es),54332,1974,4,2002,2
Fueguino,Chile,-54.97,-70.262,157,Lava dome(s),78,1820,2,1820,2
Fujisan,Japan,35.361,138.728,3776,Stratovolcano,1759,1707,5,1707,5
Fukujin,United States,21.93,143.47,-217,Submarine,0,1973,1,1973,1
Fukutoku-Oka-no-Ba,Japan,24.285,141.481,-29,Submarine,19,1914,3,2010,1
Furnas,Portugal,37.77,-25.32,805,Stratovolcano,7310,1630,5,1630,5
Fuss Peak,Russia,50.267,155.246,1742,Stratovolcano,62,1854,3,1854,3
Galapagos Rift,Undersea Features,0.792,-86.15,-2430,Submarine,0,1996,0,1996,0
Galeras,Colombia,1.22,-77.37,4276,Complex,120817,2008,3,2012,2
Galunggung,Indonesia,-7.25,108.058,2168,Stratovolcano,66495,1822,5,1984,1
Gamalama,Indonesia,0.8,127.33,1715,Stratovolcano(es),204820,1990,3,2016,1
Gamkonora,Indonesia,1.38,127.53,1635,Stratovolcano,12744,1673,5,2007,2
Gareloi,United States,51.79,-178.794,1573,Stratovolcano,0,1982,3,1989,1
Garibaldi,Canada,49.85,-123.0,2678,Stratovolcano,22,-8060,3,-8060,3
Gaua,Vanuatu,-14.27,167.5,797,Stratovolcano,1200,1965,3,2011,1
Gede-Pangrango,Indonesia,-6.77,106.965,3008,Stratovolcano(es),154390,1853,3,1957,2
Ghegam Ridge,Armenia,40.275,44.75,3597,Volcanic field,1265153,-1900,0,-1900,0
Glacier Peak,United States,48.112,-121.113,3213,Stratovolcano,0,200,4,1700,2
Gorely,Russia,52.559,158.03,1799,Caldera,0,1980,3,2010,1
Gorny Institute,Russia,57.33,160.2,2125,Stratovolcano,0,-4250,0,-4250,0
Great Sitkin,United States,52.076,-176.13,1740,Stratovolcano,0,1974,2,1974,2
Grimsnes,Iceland,64.05,-20.883,200,Crater rows,6253,-4270,3,-3500,2
Grimsvotn,Iceland,64.416,-17.316,1719,Caldera,0,-8230,6,2011,4
Guagua Pichincha,Ecuador,-0.171,-78.598,4784,Stratovolcano,32488,930,5,2002,1
Guallatiri,Chile,-18.42,-69.092,6071,Stratovolcano,63,1960,2,1960,2
Guguan,United States,17.307,145.845,287,Stratovolcano,0,1883,2,1883,2
Guntur,Indonesia,-7.143,107.84,2249,Complex,218012,1843,3,1847,2
Gunungapi Wetar,Indonesia,-6.642,126.65,282,Stratovolcano,2,1699,3,1699,3
Hachijojima,Japan,33.137,139.766,854,Stratovolcano(es),13560,-2050,5,1606,2
Hakkodasan,Japan,40.659,140.877,1585,Stratovolcano(es),730,-2250,3,1550,1
Hakoneyama,Japan,35.233,139.021,1438,Complex,53755,-6000,3,2015,1
Hakusan,Japan,36.155,136.771,2702,Stratovolcano,807,-200,4,1659,2
Harrat Ash Shamah,Syria-Jordan-Saudi Arabia,32.333,37.583,1100,Volcanic field,276996,1850,0,1850,0
Harunasan,Japan,36.477,138.851,1449,Stratovolcano,36116,550,5,550,5
Havre Seamount,New Zealand,-31.08,-179.033,-897,Submarine,0,2012,1,2012,1
Hayes,United States,61.64,-152.411,3034,Stratovolcano,0,-1550,5,-1550,5
Haylan,Yemen,15.4,45.1,1550,Volcanic field,225754,-1200,0,-1200,0
Heard,Australia,-53.106,73.513,2745,Stratovolcano,0,2000,2,2012,0
Hekla,Iceland,63.983,-19.666,1490,Stratovolcano,0,1104,5,2000,3
Hell's Half Acre,United States,43.5,-112.45,1631,Shield,305,-3250,0,-3250,0
Hengill,Iceland,64.083,-21.416,803,Crater rows,5722,150,2,150,2
Hierro,Spain,27.73,-18.03,1500,Shield,20321,2011,2,2011,2
