NAME,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,TYPE,POPULATION WITHIN 10KM,LARGEST YEAR,LARGEST VEI,LATEST YEAR,LATEST VEI,ERUPTION COUNT
Acatenango,Guatemala,14.501,-90.876,3976,Stratovolcano(es),60730,1924,3,1972,1,3
Adatarayama,Japan,37.647,140.281,1728,Stratovolcano(es),3936,1900,2,1996,1,3
Agrigan,United States,18.77,145.67,965,Stratovolcano,0,1917,4,1917,4,1
Agung,Indonesia,-8.343,115.508,2995,Stratovolcano,76781,1963,5,1963,5,3
Ahyi,United States,20.42,145.03,-75,Submarine,0,2014,0,2014,0,2
Aira,Japan,31.593,130.657,1117,Caldera,113874,1914,4,2017,1,13
Akademia Nauk,Russia,53.98,159.45,1180,Stratovolcano(es),3,1996,3,1996,3,1
Akan,Japan,43.384,144.013,1499,Caldera,2062,2008,1,2008,1,17
Akita-Komagatake,Japan,39.761,140.799,1637,Stratovolcano(es),3864,1970,2,1970,2,4
Akita-Yakeyama,Japan,39.964,140.757,1366,Stratovolcano,721,1929,2,1997,1,10
Akutan,United States,54.134,-165.986,1303,Stratovolcano,24,1992,2,1992,1,30
Alaid,Russia,50.861,155.565,2285,Stratovolcano,64,1981,4,2015,1,12
Alayta,Ethiopia,12.888,40.573,1496,Shield,925,1915,2,1915,2,2
Alcedo,Ecuador,-0.43,-91.12,1130,Shield,290,1993,1,1993,1,2
Almolonga,Guatemala,14.797,-91.519,3173,Stratovolcano,287487,1818,2,1818,2,1
Alu-Dalafilla,Ethiopia,13.793,40.553,578,Fissure vent(s),9,2008,3,2008,3,1
Ambang,Indonesia,0.75,124.42,1795,Complex,46469,2005,1,2005,1,1
Ambrym,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,186,1950,4,2008,2,50
Amukta,United States,52.5,-171.252,1066,Stratovolcano,0,1963,3,1997,1,4
Anatahan,United States,16.35,145.67,790,Stratovolcano,0,2004,3,2007,2,4
Aniakchak,United States,56.88,-158.17,1341,Caldera,0,1931,4,1931,4,1
Antisana,Ecuador,-0.481,-78.141,5753,Stratovolcano,2220,1801,2,1801,2,1
Antuco,Chile,-37.406,-71.349,2979,Stratovolcano,474,1852,3,1869,2,8
Aoba,Vanuatu,-15.4,167.83,1496,Shield,1279,2005,2,2011,1,4
Ararat,Turkey,39.7,44.3,5165,Stratovolcano,1239,1840,3,1840,3,1
Ardoukoba,Djibouti,11.58,42.47,298,Fissure vent(s),2895,1978,1,1978,1,1
Arenal,Costa Rica,10.463,-84.703,1670,Stratovolcano,15643,1968,3,1968,3,2
Arenales,Chile,-47.2,-73.48,3437,Stratovolcano,0,1979,1,1979,1,1
Arjuno-Welirang,Indonesia,-7.733,112.575,3339,Stratovolcano,53983,1950,2,1952,0,2
Asamayama,Japan,36.406,138.523,2568,Complex,22371,1953,3,2015,1,57
Askja,Iceland,65.033,-16.783,1080,Stratovolcano,0,1875,5,1961,2,9
Asosan,Japan,32.884,131.104,1592,Caldera,75559,2016,3,2016,3,96
Asuncion,United States,19.671,145.406,857,Stratovolcano,0,1906,2,1906,2,1
Atitlan,Guatemala,14.583,-91.186,3535,Stratovolcano(es),70431,1853,3,1853,3,7
Atka,United States,52.331,-174.139,1448,Stratovolcano(es),0,1812,3,1812,3,1
Augustine,United States,59.363,-153.43,1252,Lava dome(s),0,1986,4,2005,3,9
Avachinsky,Russia,53.256,158.836,2717,Stratovolcano,0,1945,4,2001,1,16
Awu,Indonesia,3.67,125.5,1320,Stratovolcano,22655,1966,4,2004,2,14
Axial Seamount,Undersea Features,45.95,-130.0,-1410,Submarine,0,2015,0,2015,0,4
Azul,Chile,-35.653,-70.761,3788,Stratovolcano,158,1916,5,2008,1,18
Azul,Ecuador,-0.92,-91.408,1640,Shield,220,1916,5,2008,1,18
Azul,Nicaragua,12.53,-83.87,201,Pyroclastic cone(s),4310,1916,5,2008,1,18
Azumayama,Japan,37.735,140.244,1949,Stratovolcano(es),907,1977,1,1977,1,6
Babuyan Claro,Philippines,19.523,121.94,1080,Stratovolcano(es),222,1831,4,1924,2,7
Bagana,Papua New Guinea,-6.137,155.196,1855,Lava cone,404,1952,4,2000,2,24
Baker,United States,48.777,-121.813,3285,Stratovolcano(es),46,1843,3,1880,2,9
Bam,Papua New Guinea,-3.613,144.818,685,Stratovolcano,192,1877,3,1960,2,15
Bamus,Papua New Guinea,-5.2,151.23,2248,Stratovolcano,630,1886,3,1886,3,1
Banda Api,Indonesia,-4.523,129.881,596,Caldera,5682,1988,3,1988,3,7
Bandaisan,Japan,37.601,140.072,1816,Stratovolcano,17608,1888,4,1888,4,2
Banua Wuhu,Indonesia,3.138,125.491,-5,Submarine,480,1918,3,1918,3,6
Barcena,Mexico,19.3,-110.82,332,Pyroclastic cone(s),0,1952,3,1952,3,1
Bardarbunga,Iceland,64.633,-17.516,2000,Stratovolcano,0,1910,2,2014,0,4
Barren Island,India,12.278,93.858,354,Stratovolcano,645,2013,2,2013,1,9
Barrier,Kenya,2.32,36.57,1032,Shield,112,1921,2,1921,2,6
