ERUP ID,NAME,VEI,START,END
16231,Tambora,7,1812,1815
20843,Rinjani,7,1257,
19644,Changbaishan,7,942,
13879,Santorini,7,-1610,
20904,Blanco,7,-2300,
16980,Kikai,7,-4350,
20610,Crater Lake,7,-5680,
18903,Kurile Lake,7,-6440,
16867,Pinatubo,6,1991,1991
20243,Novarupta,6,1912,1912
10624,Santa Maria,6,1902,1902
15589,Krakatau,6,1883,1883
13307,Unknown Source,6,1808,
14955,Long Island,6,1660,
11795,Huaynaputina,6,1600,1600
15112,Billy Mitchell,6,1580,
12865,Bardarbunga,6,1477,
11597,Quilotoa,6,1280,
10380,Ceboruco,6,930,
20422,Churchill,6,847,
15016,Witori,6,710,
15084,Rabaul,6,683,
15004,Dakataua,6,653,
10830,Ilopango,6,450,
18936,Ksudach,6,240,
14553,Taupo,6,233,
20421,Churchill,6,60,
15238,Ambrym,6,50,
10977,Apoyeque,6,-50,
19834,Okmok,6,-100,
14686,Raoul Island,6,-250,
16865,Pinatubo,6,-1050,
15012,Witori,6,-1370,
14547,Taupo,6,-1460,
20182,Aniakchak,6,-1645,
20156,Veniaminof,6,-1750,
20520,St. Helens,6,-1860,
12291,Hudson,6,-1890,
20179,Black Peak,6,-1900,
14954,Long Island,6,-2040,
16864,Pinatubo,6,-3550,
16826,Taal,6,-3580,
15011,Witori,6,-4000,
11004,Masaya,6,-4050,
14681,Macauley,6,-4360,
12288,Hudson,6,-4750,
17622,Tao-Rusyr Caldera,6,-5550,
18708,Mashu,6,-5550,
19491,Khangar,6,-5700,
20609,Crater Lake,6,-5900,
13990,Menengai,6,-6050,
20180,Aniakchak,6,-6300,
19138,Karymsky,6,-6600,
20047,Fisher,6,-7420,
16862,Pinatubo,6,-7460,
18745,Moekeshiwan [Lvinaya Past],6,-7480,
17036,Aira,6,-8050,
12755,Grimsvotn,6,-8230,
20855,Michinmahuida,6,-8400,
19654,Ulreung,6,-8750,
20809,Puyehue-Cordon Caulle,5,2011,2012
12299,Hudson,5,1991,1991
10610,Chichon,5,1982,1982
20557,St. Helens,5,1980,1986
16210,Agung,5,1963,1964
19336,Bezymianny,5,1955,1957
17621,Kharimkotan,5,1933,1933
11957,Azul,5,1916,1932
10459,Colima,5,1913,1913
18941,Ksudach,5,1907,
14506,Okataina,5,1886,1886
12911,Askja,5,1875,1875
19572,Sheveluch,5,1854,
16209,Agung,5,1843,
10872,Cosiguina,5,1835,1835
15718,Galunggung,5,1822,1822
20544,St. Helens,5,1800,
12674,Katla,5,1755,1756
18612,Shikotsu,5,1739,1739
12673,Katla,5,1721,1721
17452,Fujisan,5,1707,1708
16471,Tangkoko-Duasudara,5,1680,
16584,Gamkonora,5,1673,
18610,Shikotsu,5,1667,1667
18594,Toya,5,1663,1663
19565,Sheveluch,5,1652,
16694,Parker,5,1640,1641
18562,Hokkaido-Komagatake,5,1640,1640
13332,Vesuvius,5,1631,1632
13042,Furnas,5,1630,1630
12671,Katla,5,1625,1625
16105,Raung,5,1593,
15933,Kelut,5,1586,
13032,Agua de Pau,5,1563,1563
20541,St. Helens,5,1482,
20540,St. Helens,5,1480,
17051,Aira,5,1471,1476
16866,Pinatubo,5,1450,
12958,Oraefajokull,5,1362,1362
10608,Chichon,5,1360,
14505,Okataina,5,1310,1315
19946,Katla,5,1262,
11534,Cotopaxi,5,1130,
17679,Asamayama,5,1108,1108
12731,Hekla,5,1104,
11777,Ubinas,5,1082,
18714,Mashu,5,1080,
19561,Sheveluch,5,1034,
15111,Billy Mitchell,5,1030,
11471,Guagua Pichincha,5,930,
18099,Towada,5,915,
12204,Puyehue-Cordon Caulle,5,860,
10606,Chichon,5,780,
15015,Witori,5,690,
19556,Sheveluch,5,650,
19033,Opala,5,610,
19554,Sheveluch,5,600,
17815,Harunasan,5,550,
13308,Vesuvius,5,472,472
19995,Akutan,5,340,
15014,Witori,5,310,
11006,Masaya,5,150,
13037,Furnas,5,80,
10050,Vesuvius,5,79,79
13506,Etna,5,-122,
11005,Masaya,5,-170,
12191,Antillanca Group,5,-230,
11453,Atacazo,5,-320,
20445,Meager,5,-410,
20529,St. Helens,5,-530,
14559,Tongariro,5,-550,
18605,Shikotsu,5,-550,
11419,Pululagua,5,-690,
20195,Yantarni,5,-800,
12017,Sollipulli,5,-920,
17413,Fujisan,5,-930,
18922,Khodutka,5,-930,
17665,Sheveluch,5,-950,
12190,Antillanca Group,5,-960,
11610,Tungurahua,5,-1010,
12718,Hekla,5,-1100,
11392,Cuicocha,5,-1150,
12308,Aguilera,5,-1250,
11796,Yucamane,5,-1320,
17409,Fujisan,5,-1350,
19073,Avachinsky,5,-1350,
13492,Etna,5,-1500,
19072,Avachinsky,5,-1500,
20401,Hayes,5,-1550,
14432,Taranaki [Egmont],5,-1700,
20521,St. Helens,5,-1770,
12095,Villarrica,5,-1810,
20154,Dana,5,-1890,
11296,Tolima,5,-1990,
17659,Sheveluch,5,-2000,
10599,Chichon,5,-2030,
14027,Rungwe,5,-2050,
18291,Hachijojima,5,-2050,
11520,Cotopaxi,5,-2050,
17658,Sheveluch,5,-2100,
10033,Campi Flegrei,5,-2150,
15716,Galunggung,5,-2250,
12710,Hekla,5,-2310,
12326,Burney,5,-2320,
20518,St. Helens,5,-2340,
10043,Vesuvius,5,-2420,
11452,Atacazo,5,-2490,
10975,Apoyeque,5,-2550,
17653,Sheveluch,5,-2620,
11517,Cotopaxi,5,-2640,
17006,Ata,5,-2690,
14210,Fournaise,5,-2700,
18911,Iliinsky,5,-2850,
13026,Agua de Pau,5,-2990,
18917,Zheltovsky,5,-3050,
20853,Chaiten,5,-3100,
20048,Fisher,5,-3170,
19063,Avachinsky,5,-3200,
11516,Cotopaxi,5,-3280,
17865,Numazawa,5,-3400,
19534,Sheveluch,5,-3500,
14500,Okataina,5,-3580,
19533,Sheveluch,5,-3650,
10509,Popocatepetl,5,-3700,
20249,Kaguyak,5,-3850,
11513,Cotopaxi,5,-3880,
12701,Hekla,5,-4110,
18097,Towada,5,-4150,
10974,Apoyeque,5,-4160,
19055,Avachinsky,5,-4340,
11512,Cotopaxi,5,-4350,
19530,Sheveluch,5,-4400,
18559,Hokkaido-Komagatake,5,-4600,
18286,Hachijojima,5,-4650,
17552,Myokosan,5,-4750,
18927,Ksudach,5,-4900,
15102,Tavui,5,-4946,
14418,Mayor Island,5,-5060,
12192,Puyehue-Cordon Caulle,5,-5080,
12691,Hekla,5,-5150,
18926,Ksudach,5,-5200,
19599,Ichinsky,5,-5400,
19525,Sheveluch,5,-5500,
11511,Cotopaxi,5,-5820,
19047,Avachinsky,5,-5980,
17037,Aira,5,-6050,
14498,Okataina,5,-6060,
19865,Makushin,5,-6100,
19255,Kizimen,5,-6400,
11389,Soche,5,-6650,
10559,Orizaba,5,-6710,
12239,Calbuco,5,-6760,
19516,Sheveluch,5,-6800,
12021,Llaima,5,-6880,
10042,Vesuvius,5,-6940,
18604,Shikotsu,5,-6950,
18915,Zheltovsky,5,-7050,
19514,Sheveluch,5,-7150,
18093,Towada,5,-7250,
19770,Seguam,5,-7300,
19513,Sheveluch,5,-7300,
19512,Sheveluch,5,-7400,
12323,Burney,5,-7450,
14497,Okataina,5,-7560,
20107,Roundtop,5,-7600,
12270,Chaiten,5,-7750,
18924,Ksudach,5,-7900,
19254,Kizimen,5,-8050,
14533,Taupo,5,-8130,
18092,Towada,5,-8250,
14025,Ngozi,5,-8250,
20858,Calbuco,5,-8460,
12904,Askja,5,-8910,
14531,Taupo,5,-9240,
14558,Tongariro,5,-9350,
14557,Tongariro,5,-9450,
14530,Taupo,5,-9460,
14556,Tongariro,5,-9650,
21075,Wolf,4,2015,2015
21076,Calbuco,4,2015,2015
20934,Kelut,4,2014,2014
20825,Tolbachik,4,2012,2013
20800,Nabro,4,2011,2012
20767,Grimsvotn,4,2011,2011
15925,Merapi,4,2010,2012
12563,Eyjafjallajokull,4,2010,2010
18819,Sarychev Peak,4,2009,2009
19745,Kasatochi,4,2008,2008
19852,Okmok,4,2008,2008
12271,Chaiten,4,2008,2011
15100,Rabaul,4,2006,2010
14934,Manam,4,2004,2009
11446,Reventador,4,2002,2003
16493,Ruang,4,2002,2002
15063,Ulawun,4,2000,2000
19594,Sheveluch,4,1999,2017
15096,Rabaul,4,1994,1995
11868,Lascar,4,1993,1993
20399,Spurr,4,1992,1992
15957,Kelut,4,1990,1990
19468,Klyuchevskoy,4,1986,1990
18854,Chikurachki,4,1986,1986
20262,Augustine,4,1986,1986
16423,Colo,4,1983,1983
15721,Galunggung,4,1982,1983
18515,Pagan,4,1981,1985
18887,Alaid,4,1981,1981
20272,Augustine,4,1976,1977
19323,Tolbachik,4,1975,1976
10727,Fuego,4,1974,1974
18740,Chachadake [Tiatia],4,1973,1973
11666,Fernandina,4,1968,1968
16567,Awu,4,1966,1966
15956,Kelut,4,1966,1966
16853,Taal,4,1965,1965
19579,Sheveluch,4,1964,1964
12188,Carrán-Los Venados,4,1955,1955
20397,Spurr,4,1953,1953
15128,Bagana,4,1952,1952
15955,Kelut,4,1951,1951
15105,Lamington,4,1951,1956
15262,Ambrym,4,1950,1951
12749,Hekla,4,1947,1948
18812,Sarychev Peak,4,1946,1946
19102,Avachinsky,4,1945,1945
10486,Michoacan-Guanajuato,4,1943,1952
15090,Rabaul,4,1937,1937
16971,Kuchinoerabujima,4,1933,1934
15579,Suoh,4,1933,1933
10716,Fuego,4,1932,1932
20192,Aniakchak,4,1931,1931
19203,Klyuchevskoy,4,1931,1931
18575,Hokkaido-Komagatake,4,1929,1929
19099,Avachinsky,4,1926,1927
16910,Submarine Volcano NNE of Iriomotejima,4,1924,
18823,Raikoke,4,1924,
14907,Manam,4,1919,
15953,Kelut,4,1919,1919
12677,Katla,4,1918,1918
18502,Agrigan,4,1917,
11640,Tungurahua,4,1916,1925
17077,Aira,4,1914,1915
15083,Lolobau,4,1911,1912
15081,Lolobau,4,1904,1905
12823,Grimsvotn,4,1902,1904
12453,Soufrière St. Vincent,4,1902,1903
12430,Pelee,4,1902,1905
11341,Dona Juana,4,1897,1906
16794,Mayon,4,1897,1897
12252,Calbuco,4,1893,1894
16926,Suwanosejima,4,1889,1889
10452,Colima,4,1889,1890
17900,Bandaisan,4,1888,1888
14789,Niuafo'ou,4,1886,1886
11638,Tungurahua,4,1886,1888
20266,Augustine,4,1883,1884
10714,Fuego,4,1880,1880
11576,Cotopaxi,4,1877,1877
16923,Suwanosejima,4,1877,
13360,Vesuvius,4,1875,1906
12818,Grimsvotn,4,1873,1873
15878,Merapi,4,1872,1872
18837,Sinarka,4,1872,1878
16685,Makian,4,1861,1862
12676,Katla,4,1860,1860
10707,Fuego,4,1857,1857
18567,Hokkaido-Komagatake,4,1856,
18598,Toya,4,1853,1853
14779,Fonualei,4,1846,1846
12746,Hekla,4,1845,1846
16880,Babuyan Claro,4,1831,
19416,Klyuchevskoy,4,1829,
19086,Avachinsky,4,1827,1827
15944,Kelut,4,1826,1826
18597,Toya,4,1822,1822
10436,Colima,4,1818,1818
16113,Raung,4,1817,1817
13605,Mayon,4,1814,1814
16922,Suwanosejima,4,1813,1814
16556,Awu,4,1812,1812
12450,Soufrière St. Vincent,4,1812,1812
11799,Tutupaca,4,1802,1802
15022,Witori,4,1800,
20039,Westdahl,4,1795,
10593,San Martin,4,1793,1793
10060,Kilauea,4,1790,
18880,Alaid,4,1790,1793
13723,Etna,4,1787,1787
17748,Asamayama,4,1783,1783
12809,Grimsvotn,4,1783,1785
17061,Aira,4,1779,1781
18822,Raikoke,4,1778,
18596,Toya,4,1769,
11553,Cotopaxi,4,1768,
12745,Hekla,4,1766,1768
18265,Miyakejima,4,1763,1769
11930,Planchon-Peteroa,4,1762,
20111,Pavlof,4,1762,1786
16682,Makian,4,1760,1761
10485,Michoacan-Guanajuato,4,1759,1774
16841,Taal,4,1754,1754
18940,Ksudach,4,1750,
16840,Taal,4,1749,1749
11548,Cotopaxi,4,1744,1744
18555,Oshima-Oshima,4,1741,1742
10695,Fuego,4,1737,1737
12959,Oraefajokull,4,1727,1728
14695,Raoul Island,4,1720,
11265,Bravo,4,1720,
10692,Fuego,4,1717,1717
16837,Taal,4,1716,1716
18778,Chirpoi,4,1712,
18563,Hokkaido-Komagatake,4,1694,1694
16386,Serua,4,1693,1693
12743,Hekla,4,1693,1693
18845,Chikurachki,4,1690,
12672,Katla,4,1660,1661
11483,Guagua Pichincha,4,1660,1660
16375,Teon,4,1660,
