NAME,PRIMARY TYPE,LAST ERUPTION YEAR,COUNTRY,REGION2,SUBREGION,LATITUDE,LONGITUDE,ELEVATION,EVIDENCE CATEGORY,POPULATION WITHIN 5KM,POPULATION WITHIN 10KM,POPULATION WITHIN 30KM,POPULATION WITHIN 100KM
Abu,Shield(s),-6850,Japan,"Japan, Taiwan, Marianas","Honshu",34.5,131.6,641,Eruption Dated,3597,9594,117805,4071152
Acamarachi,Stratovolcano,Unknown,Chile,"South America","Northern Chile, Bolivia and Argentina",-23.3,-67.62,6046,Evidence Credible,0,7,294,9092
Acatenango,Stratovolcano(es),1972,Guatemala,"México and Central America","Guatemala",14.501,-90.876,3976,Eruption Observed,4329,60730,1042836,7634778
Acigol-Nevsehir,Caldera,-2080,Turkey,"Mediterranean and Western Asia","Turkey",38.537,34.621,1683,Eruption Dated,127863,127863,218469,2253483
Adams,Stratovolcano,950,United States,"Canada and Western USA","USA (Washington)",46.206,-121.49,3742,Eruption Dated,0,70,4019,393303
Adams Seamount,Submarine,-50,Undersea Features,"Hawaii and Pacific Ocean","Pacific Ocean (central)",-25.37,-129.27,-39,Eruption Dated,0,0,0,44
Adatarayama,Stratovolcano(es),1996,Japan,"Japan, Taiwan, Marianas","Honshu",37.647,140.281,1728,Eruption Observed,428,3936,717078,5024654
Adwa,Stratovolcano,Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",10.07,40.84,1733,Evidence Credible,101,485,18645,1242922
Afdera,Stratovolcano,Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",13.088,40.853,1250,Evidence Uncertain,51,6042,8611,161009
Agrigan,Stratovolcano,1917,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",18.77,145.67,965,Eruption Observed,0,0,0,0
Agua,Stratovolcano,Unknown,Guatemala,"México and Central America","Guatemala",14.465,-90.743,3760,Evidence Credible,9890,114404,2530449,7441660
Agua de Pau,Stratovolcano,1564,Portugal,"Atlantic Ocean","Azores",37.77,-25.47,947,Eruption Observed,406,17272,113131,119653
Aguilera,Stratovolcano,-1250,Chile,"South America","Southern Chile and Argentina",-50.33,-73.75,2546,Eruption Dated,0,0,103,5698
Agung,Stratovolcano,1964,Indonesia,"Indonesia","Lesser Sunda Islands",-8.343,115.508,2995,Eruption Observed,5657,76781,968381,4550176
Ahyi,Submarine,2014,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.42,145.03,-75,Eruption Dated,0,0,0,0
Aira,Caldera,2017,Japan,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",31.593,130.657,1117,Eruption Observed,4918,113874,905254,2610033
