NAME,REGION,LATITUDE,LONGITUDE,ELEVATION,TYPE,STATUS,LAST ERUPTION CODE
'UWAYRID,ARABIA-W,27.08,37.25,1900,VOLCANIC FIELD,ANTHROPOLOGY,D6
ABU,HONSHU-JAPAN,34.5,131.6,571,SHIELD VOLCANOES,HOLOCENE?,?
ACAMARACHI,CHILE-N,-23.3,-67.62,6046,STRATOVOLCANO,HOLOCENE?,?
ACATENANGO,GUATEMALA,14.501,-90.876,3976,STRATOVOLCANO,HISTORICAL,D1
ACIGOL-NEVSEHIR,TURKEY,38.57,34.52,1689,MAARS,HOLOCENE,U
ACOTANGO,CHILE-N,-18.37,-69.05,6052,STRATOVOLCANOES,HOLOCENE,U
ADAGDAK,ALEUTIAN IS,51.98,-176.6,645,STRATOVOLCANO,HOLOCENE,U
ADAMS,US-WASHINGTON,46.206,-121.49,3742,STRATOVOLCANO,TEPHROCHRONOLOGY,D6
ADATARA,HONSHU-JAPAN,37.62,140.28,1718,STRATOVOLCANOES,HISTORICAL,D1
ADWA,ETHIOPIA,10.07,40.84,1733,STRATOVOLCANO,HOLOCENE,U
AFDERA,ETHIOPIA,13.08,40.85,1295,STRATOVOLCANO,HOLOCENE?,?
AGMAGAN-KARADAG,ARMENIA,40.275,44.75,3560,VOLCANIC FIELD,HOLOCENE,U
AGRIGAN,MARIANA IS-C PACIFIC,18.77,145.67,965,STRATOVOLCANO,HISTORICAL,D2
AGUA,GUATEMALA,14.465,-90.743,3760,STRATOVOLCANO,HOLOCENE,U
AGUA DE PAU,AZORES,37.77,-25.47,947,STRATOVOLCANO,HISTORICAL,D5
AGUILERA,CHILE-S,-50.17,-73.83,0,STRATOVOLCANO ?,RADIOCARBON,D7
AGUNG,LESSER SUNDA IS,-8.342,115.508,3142,STRATOVOLCANO,HISTORICAL,D1
AHYI,MARIANA IS-C PACIFIC,20.42,145.03,-137,SUBMARINE VOLCANO,UNCERTAIN,U
AKADEMIA NAUK,KAMCHATKA,53.98,159.45,1180,STRATOVOLCANOES,HISTORICAL,D1
AKAGI,HONSHU-JAPAN,36.53,139.18,1828,STRATOVOLCANO,HISTORICAL,D6
AKAN,HOKKAIDO-JAPAN,43.38,144.02,1499,CALDERA,HISTORICAL,D1
AKHTANG,KAMCHATKA,55.43,158.65,1956,SHIELD VOLCANO,HOLOCENE,U
AKITA-KOMAGA-TAKE,HONSHU-JAPAN,39.75,140.8,1637,STRATOVOLCANOES,HISTORICAL,D1
AKITA-YAKE-YAMA,HONSHU-JAPAN,39.97,140.77,1366,COMPLEX VOLCANO,HISTORICAL,D1
AKUSEKI-JIMA,RYUKYU IS,29.45,129.6,586,STRATOVOLCANO,HOLOCENE,U
